LO_ID,Subject,Subject_Name,Priority,BK_Only,ECQB_2026_Change,File_Hits,First_File,DB_Rows,Coverage_Status_Suggested,LO_Text
010.02.04.01.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Explain who is responsible for assigning nationality marks, common marks and registration marks."
010.04.01.01.01,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the relationship and differences between ICAO Annex 1 and the Aircrew Regulation.
010.04.02.01.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Define the following: Category, class and type of aircraft, cross-country, dual instruction time, flight time, student pilot-in-command (SPIC), instrument time, instrument flight time, instrument ground time, night, private pilot, proficiency check, renewal, revalidation, skill test, solo flight time."
010.04.02.01.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Define the following: multi-crew cooperation (MCC), multi-pilot aircraft, rating."
010.04.02.02.01,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the structure of Part-FCL.
010.04.02.02.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Explain the requirements to act as a flight crew member of a civil aircraft registered in a Member State, and know the general principles of the licensing system (light aircraft pilot licence (LAPL), private pilot licence (PPL), commercial pilot licence (CPL), multi-crew pilot licence (MPL), airline transport pilot licence (ATPL))."
010.04.02.02.03,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,List the two factors that are relevant to the exercise of the privileges of a licence.
010.04.02.02.04,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,State the circumstances in which a language proficiency endorsement is required.
010.04.02.02.05,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,List the restrictions for licence holders with an age of 60 years or more.
010.04.02.02.06,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the term ‘competent authority’.
010.04.02.02.07,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the obligation to carry and present documents  (e.g. a flight crew licence) under Part-FCL.
010.04.02.03.01,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,State the requirements for the issue of a CPL.
010.04.02.03.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the privileges of a CPL.
010.04.02.04.01,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,State the requirements for the issue of an ATPL.
010.04.02.04.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the privileges of an ATPL.
010.04.02.04.03,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,State the requirements for the issue of an MPL.
010.04.02.04.04,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the privileges of an MPL.
010.04.02.05.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"State the requirements for class ratings, their validity and privileges."
010.04.02.05.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"State the requirements for type ratings, their validity and privileges."
010.04.02.05.03,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"State the requirements for instrument ratings, their validity and privileges (instrument rating (IR), competency-based instrument rating (CB-IR) and basic instrument rating (BIR)."
010.04.02.05.04,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"State the requirements for other ratings, their validity and privileges according to Part-FCL."
010.04.03.01.01,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the relevant content of Part-MED - Medical requirements (administrative parts and requirements related to licensing only).
010.04.03.01.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the requirements for the issue of a medical certificate.
010.04.03.01.03,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Name the class of medical certificate required when exercising the privileges of a CPL, MPL or ATPL."
010.04.03.01.04,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the actions to be taken in case of a decrease in medical fitness.
010.05.01.01.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the scope and purpose of ICAO Annex 2.
010.05.01.01.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the scope and main content of SERA.
010.05.02.01.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Explain the principle of territorial application of the various Rules of the Air, e.g. ICAO, SERA, national rules."
010.05.02.01.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the necessity to comply with the Rules of the Air.
010.05.02.01.03,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the responsibilities of the PIC.
010.05.02.01.04,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Identify under what circumstances departure from the Rules of the Air may be allowed.
010.05.02.01.05,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the duties of the PIC concerning pre-flight actions in case of an instrument flight rule (IFR) flight.
010.05.02.01.06,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State that the PIC of an aircraft has final authority as to the disposition of the aircraft while in command.
010.05.02.01.07,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Explain when the use of psychoactive substances, taking into consideration their effects, by flight crew members is prohibited."
010.05.03.01.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the rules for the avoidance of collisions.
010.05.03.01.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Describe the lights, including their angles, to be displayed by aircraft."
010.05.03.01.03,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Interpret marshalling signals.
010.05.03.01.04,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"State the basic requirements for minimum height (HGT) for the flight over congested areas of cities, towns or settlements, or over an open-air assembly of persons."
010.05.03.01.05,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Define when the cruising levels shall be expressed in terms of flight levels (FLs).
010.05.03.01.06,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Define under what circumstances cruising levels shall be expressed in terms of altitude (ALT).
010.05.03.01.07,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Explain the limitation for proximity to other aircraft and the right-of-way rules, including holding at runway (RWY) holding positions and lighted stop bars."
010.05.03.01.08,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the meaning of light signals displayed to aircraft and by aircraft.
010.05.03.01.09,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the requirements when carrying out simulated instrument flights.
010.05.03.01.10,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the basic rules for an aircraft operating on and in the vicinity of an aerodrome (AD).
010.05.03.01.11,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the requirements for the submission of an air traffic service (ATS) flight plan.
010.05.03.01.12,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the actions to be taken in case of flight plan change or delay.
010.05.03.01.13,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"State the actions to be taken in case of inadvertent changes to track, true airspeed (TAS) and time estimate affecting the current flight plan."
010.05.03.01.14,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the procedures for closing a flight plan.
010.05.03.01.15,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State for which flights an air traffic control (ATC) clearance shall be obtained.
010.05.03.01.16,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State how a pilot may request ATC clearance.
010.05.03.01.17,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the action to be taken if an ATC clearance is not satisfactory to a PIC.
010.05.03.01.18,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the required actions to be carried out if the continuation of a controlled visual flight rule (VFR) flight in visual meteorological conditions (VMC) is not practicable any more.
010.05.03.01.19,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the provisions for transmitting a position report to the appropriate ATS unit including time of transmission and normal content of the message.
010.05.03.01.20,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the necessary action when an aircraft experiences a communication (COM) failure.
010.05.03.01.21,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State what information an aircraft being subjected to unlawful interference shall give to the appropriate ATS unit.
010.05.04.01.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the VFR as contained in Commission Implementing Regulation (EU) No 923/2012.
010.05.05.01.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the IFR as contained in Commission Implementing Regulation (EU) No 923/2012.
010.05.06.01.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,List the circumstances in which interception of a civil aircraft may occur.
010.05.06.01.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State what primary action should be carried out by an intercepted aircraft.
010.05.06.01.03,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State which frequency should primarily be tried in order to contact an intercepting aircraft.
010.05.06.01.04,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State on which mode and code a transponder on board the intercepted aircraft should be operated.
010.05.06.01.05,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Recall the interception signals and phrases.
010.06.02.01.01,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,"Recall all definitions included in ICAO Doc 8168, Volume I, Part I, Section 1, Chapter 1."
010.06.02.01.02,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,"Interpret all abbreviations and acronyms as shown in ICAO Doc 8168, Volume I, Part I, Section 1, Chapter 2."
010.06.03.01.01,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,State the factors dictating the design of instrument departure procedures.
010.06.03.01.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain in which situations the criteria for omnidirectional departures are applied.
010.06.03.02.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the terms ‘straight departure’ and ‘turning departure’.
010.06.03.03.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain what is the meaning of an ‘omnidirectional departure’.
010.06.04.01.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the general criteria (except ‘Speeds for procedure calculations’) of the approach procedure design: instrument approach areas; accuracy of fixes; fixes formed by intersections; intersection fix-tolerance factors; other fix-tolerance factors; descent gradient.
010.06.04.01.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Name the five possible segments of an instrument approach procedure.
010.06.04.01.03,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the reasons for establishing aircraft categories for the approach.
010.06.04.01.04,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the maximum angle between the final approach track and the extended RWY centre line to still consider a non-precision approach as being a ‘straight-in approach’.
010.06.04.01.05,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the minimum obstacle clearance (MOC) provided by the minimum sector altitudes (MSAs) established for an aerodrome.
010.06.04.01.06,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,State that a pilot shall apply wind corrections when carrying out an instrument approach procedure.
010.06.04.01.07,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the most significant factor influencing the conduct of instrument approach procedures.
010.06.04.01.08,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Explain why a pilot should not descend below obstacle clearance altitude/height (OCA/H), which are established for: precision approach procedures; non-precision approach procedures; visual (circling) procedures; APV approach procedures."
010.06.04.01.09,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe in general terms the relevant factors for the calculation of operational minima.
010.06.04.01.10,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"State the following acronyms in plain language: DA, DH, OCA, OCH, MDA, MDH, MOC, DA/H, OCA/H, MDA/H."
010.06.04.01.11,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Explain the relationship between the terms: DA, DH, OCA, OCH, MDA, MDH, MOC, DA/H, OCA/H, and MDA/H."
010.06.04.02.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe how the vertical cross section for each of the five approach segments is broken down into the various areas.
010.06.04.02.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State within which area of the cross section the minimum obstacle clearance (MOC) is provided for the whole width of the area.
010.06.04.02.03,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Define the terms ‘IAF’, ‘IF’, ‘FAF’, ‘FAP’, ‘MAPt’ and ‘TP’."
010.06.04.02.04,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,"State the accuracy of facilities providing track (VHF omnidirectional radio range (VOR), instrument landing system (ILS), non-directional beacon (NDB))."
010.06.04.02.05,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the optimum descent gradient (preferred for a precision approach) in degrees and per cent.
010.06.04.03.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Name the five standard segments of an instrument approach procedure, and state the beginning and end for each of them."
010.06.04.03.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe where an arrival route normally ends.
010.06.04.03.03,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the main task of the initial approach segment.
010.06.04.03.04,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the maximum angle of interception between the initial approach segment and the intermediate approach segment (provided at the intermediate fix) for a precision approach and a non-precision approach.
010.06.04.03.05,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the main task of the intermediate approach segment.
010.06.04.03.06,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the main task of the final approach segment.
010.06.04.03.07,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Name the two possible aims of a final approach.
010.06.04.03.08,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the term ‘final approach point’ in case of an ILS approach.
010.06.04.03.09,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State what happens if an ILS glide path (GP) becomes inoperative during the approach.
010.06.04.04.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Name the three phases of a missed approach procedure and describe their geometric limits.
010.06.04.04.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the main task of a missed approach procedure.
010.06.04.04.03,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Define the term ‘missed approach point (MAPt)’.
010.06.04.04.04,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe how an MAPt may be established in an approach procedure.
010.06.04.04.05,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"State the pilot’s action if, upon reaching the MAPt, the required visual reference is not established."
010.06.04.04.06,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe what a pilot is expected to do in the event a missed approach is initiated prior to arriving at the MAPt.
010.06.04.04.07,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State whether the pilot is obliged to cross the MAPt at the height (HGT)/altitude (ALT) required by the procedure or whether they are allowed to cross the MAPt at a HGT/ALT greater than that required by the procedure.
010.06.04.05.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe what is meant by ‘visual manoeuvring (circling)’.
010.06.04.05.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe how a prominent obstacle in the visual manoeuvring (circling) area outside the final approach and missed approach area has to be considered for the visual circling.
010.06.04.05.03,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State for which category of aircraft the obstacle clearance altitude/height (OCA/H) within an established visual manoeuvring (circling) area is determined.
010.06.04.05.04,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe how the minimum descent altitude/height (MDA/H) is specified for visual manoeuvring (circling) if the OCA/H is known.
010.06.04.05.05,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the conditions to be fulfilled before descending below MDA/H in a visual manoeuvring (circling) approach.
010.06.04.05.06,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain why there can be no single procedure designed that will cater for conducting a circling approach in every situation.
010.06.04.05.07,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State how the pilot is expected to act after initial visual contact during a visual manoeuvring (circling).
010.06.04.05.08,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe what the pilot is expected to do if visual reference is lost while circling to land from an instrument approach.
010.06.05.01.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain why deviations from the in-flight procedures of a holding established in accordance with ICAO Doc 8168 are dangerous.
010.06.05.01.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"State that if for any reason a pilot is unable to conform to the procedures for normal conditions laid down for any particular holding pattern, this pilot should advise ATC as early as possible."
010.06.05.01.03,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the shape and terminology associated with the holding pattern.
010.06.05.01.04,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the bank angle and rate of turn to be used whilst flying in a holding pattern.
010.06.05.01.05,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain why a pilot in a holding pattern should attempt to maintain tracks and how this can be achieved.
010.06.05.01.06,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe where outbound timing begins in a holding pattern.
010.06.05.01.07,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State where the outbound leg in a holding terminates if the outbound leg is based on DME.
010.06.05.01.08,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the three heading entry sectors for entries into a holding pattern.
010.06.05.01.09,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Describe the terms ‘parallel entry’, ‘offset entry’ and ‘direct entry’."
010.06.05.01.10,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Determine the correct entry procedure for a given holding pattern.
010.06.05.01.11,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the still-air time for flying the outbound entry heading with or without DME.
010.06.05.01.12,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe what the pilot is expected to do when clearance is received specifying the time of departure from the holding point.
010.06.05.02.01,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,"Describe the layout of the basic holding area, entry area and buffer area of a holding pattern."
010.06.05.02.02,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,"State which obstacle clearance is provided by a minimum permissible holding level referring to the holding area, the buffer area (general only) and over high terrain or in mountainous areas."
010.06.06.01.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the two main objectives of altimeter settings.
010.06.06.01.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Define the terms ‘QNH’ and ‘QFE’.
010.06.06.01.03,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Describe the different terms for ALT or flight levels (FLs) respectively, which are the references during climb or descent to change the altimeter settings from QNH to 1013.2 hPa and vice versa."
010.06.06.01.04,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Define the term ‘flight level (FL)’.
010.06.06.01.05,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State where FL zero shall be located.
